Gender,Age,Ethnicity,Educational_Level,Income,Country_region,Hotel_Type,Adults,Children,Babies,Meal_Type,Visted_Previously,Previous_Cancellations,Deposit_type,Booking_channel,Required_Car_Parking,Reservation_Status,Use_Promotion,Discount_Rate,Room_Rate,Lead_Time_Days,Stay_Length_Days,Total_Guests,Total_Bill_amount,Booking_month,Booking_dayofweek,Checkin_month,Checkin_dayofweek
F,28,caucasian,College,25K --50K,North,Resort,2,1,0,BB,No,No,Refundable,Direct,Yes,Check-In,Yes,20,171,211,2,3,273.6,2,5,9,6
M,69,African American,Mid-School,<25K,East,Resort,2,2,1,HB,No,No,No Deposit,Online,Yes,Check-In,Yes,20,165,19,2,4,264.0,8,1,9,6
M,55,Latino,Grad,50K -- 100K,South,Airport Hotels,2,2,0,BB,No,No,Refundable,Online,Yes,Check-In,Yes,10,183,200,2,4,329.40000000000003,2,2,9,6
F,31,Asian American,College,50K -- 100K,West,Airport Hotels,3,1,0,HB,Yes,Yes,No Deposit,Direct,Yes,Check-In,Yes,10,242,214,2,4,435.6,2,2,9,6
F,36,Latino,College,>100K,South,City Hotel,2,1,0,FB,No,No,No Deposit,Direct,No,Check-In,Yes,5,117,89,2,3,222.29999999999998,6,1,9,6
M,19,Latino,High-School,50K -- 100K,West,City Hotel,1,2,0,HB,Yes,No,No Deposit,Agent,Yes,Check-In,Yes,20,231,185,3,3,554.4,3,3,9,6
M,21,caucasian,Grad,25K --50K,East,Airport Hotels,3,1,0,BB,Yes,No,No Deposit,Online,No,No-Show,Yes,10,241,198,1,4,216.9,2,4,9,6
F,22,caucasian,College,50K -- 100K,West,Airport Hotels,2,1,0,HB,No,No,Non-Refundable,Agent,No,Check-In,No,0,166,93,1,3,166.0,6,4,9,6
F,25,Asian American,Grad,<25K,South,Resort,1,1,0,BB,Yes,Yes,Refundable,Online,No,No-Show,Yes,20,187,45,1,2,149.6,7,3,9,6
F,58,African American,High-School,>100K,North,Airport Hotels,1,3,0,BB,No,No,Refundable,Online,Yes,Check-In,No,0,172,193,1,4,172.0,2,2,9,6
M,26,caucasian,College,50K -- 100K,East,Airport Hotels,3,1,1,FB,No,No,No Deposit,Online,Yes,No-Show,Yes,20,237,24,3,4,568.8000000000001,8,4,9,0
F,60,caucasian,Grad,50K -- 100K,East,Resort,1,1,0,FB,No,No,No Deposit,Online,Yes,Canceled,Yes,25,244,37,3,2,549.0,8,5,9,0
M,47,African American,College,25K --50K,South,Airport Hotels,1,1,0,HB,No,No,No Deposit,Direct,Yes,No-Show,Yes,25,120,141,2,2,180.0,4,6,9,0
F,70,African American,Grad,50K -- 100K,South,Airport Hotels,1,3,0,FB,No,No,Refundable,Online,Yes,Canceled,Yes,5,236,54,2,4,448.4,7,2,9,0
F,37,African American,College,50K -- 100K,East,Airport Hotels,2,2,1,HB,No,No,No Deposit,Online,Yes,Canceled,Yes,25,169,207,1,4,126.75,2,3,9,0
M,54,Asian American,High-School,50K -- 100K,North,Resort,2,1,0,BB,No,No,No Deposit,Direct,Yes,No-Show,No,0,205,73,2,3,410.0,6,4,9,0
M,47,Latino,Grad,<25K,East,Airport Hotels,1,1,0,FB,No,No,No Deposit,Agent,Yes,Check-In,Yes,30,142,175,1,2,99.39999999999999,3,0,9,0
M,60,caucasian,College,<25K,North,Resort,2,1,0,FB,No,No,No Deposit,Agent,No,Check-In,Yes,30,136,210,1,3,95.19999999999999,2,0,9,0
M,20,African American,Grad,25K --50K,West,City Hotel,1,2,0,HB,No,No,No Deposit,Agent,Yes,No-Show,No,0,189,115,3,3,567.0,5,4,9,0
F,70,Asian American,College,50K -- 100K,South,City Hotel,2,2,0,BB,No,No,Refundable,Direct,Yes,Check-In,Yes,40,193,89,1,4,115.8,6,2,9,0
M,63,caucasian,Mid-School,25K --50K,West,City Hotel,1,2,0,FB,No,No,No Deposit,Online,No,Check-In,Yes,20,120,31,2,3,192.0,8,4,9,0
F,67,caucasian,Grad,25K --50K,West,City Hotel,2,2,0,HB,No,No,No Deposit,Online,Yes,Canceled,Yes,5,118,171,4,4,448.4,3,4,9,0
F,49,African American,High-School,25K --50K,West,City Hotel,2,1,0,BB,Yes,Yes,Refundable,Online,Yes,Check-In,No,0,237,218,2,3,474.0,2,6,9,0
M,61,African American,College,50K -- 100K,South,Airport Hotels,1,2,0,HB,No,No,Refundable,Online,No,Check-In,Yes,5,202,169,1,3,191.89999999999998,3,6,9,0
M,40,caucasian,College,>100K,South,Airport Hotels,2,1,0,BB,Yes,Yes,Refundable,Online,Yes,No-Show,No,0,232,211,1,3,232.0,2,6,9,0
M,28,Asian American,College,<25K,East,City Hotel,1,2,1,FB,No,No,Refundable,Direct,Yes,Check-In,Yes,10,148,217,4,3,532.8000000000001,2,0,9,0
M,22,Asian American,College,<25K,South,City Hotel,1,1,1,BB,Yes,Yes,No Deposit,Online,Yes,Canceled,Yes,5,132,103,4,2,501.59999999999997,2,2,5,0
M,61,Asian American,College,25K --50K,South,City Hotel,1,1,0,FB,Yes,No,No Deposit,Direct,Yes,Canceled,Yes,10,165,201,3,2,445.5,2,2,9,0
M,42,African American,High-School,50K -- 100K,South,Airport Hotels,2,2,0,HB,Yes,No,No Deposit,Online,Yes,Check-In,Yes,25,193,179,1,4,144.75,3,4,9,1
M,64,Latino,College,25K --50K,West,City Hotel,2,2,1,HB,No,No,Non-Refundable,Direct,No,Check-In,Yes,30,105,50,2,4,147.0,7,0,9,1
F,35,caucasian,Mid-School,50K -- 100K,East,Resort,1,2,0,FB,No,No,Refundable,Direct,Yes,Check-In,Yes,20,116,63,1,3,92.80000000000001,7,1,9,1
F,60,Latino,College,25K --50K,West,Airport Hotels,1,2,1,HB,No,No,No Deposit,Direct,Yes,Check-In,Yes,25,239,43,2,3,358.5,7,0,9,1
M,52,caucasian,Mid-School,50K -- 100K,South,City Hotel,2,2,0,FB,No,No,No Deposit,Online,Yes,Check-In,Yes,20,131,130,3,4,314.40000000000003,5,4,9,1
F,51,caucasian,Grad,25K --50K,West,Airport Hotels,2,2,0,HB,No,No,No Deposit,Direct,Yes,Check-In,Yes,20,166,132,3,4,398.40000000000003,4,2,9,1
M,31,Asian American,Mid-School,>100K,South,City Hotel,1,2,1,FB,No,No,No Deposit,Online,Yes,Canceled,Yes,30,116,141,1,3,81.19999999999999,4,0,9,1
M,28,Asian American,College,>100K,North,Resort,3,1,0,FB,No,No,No Deposit,Direct,No,Check-In,Yes,25,170,212,2,4,255.0,2,6,9,1
F,68,Latino,High-School,25K --50K,West,Airport Hotels,2,2,1,BB,Yes,No,No Deposit,Direct,Yes,Check-In,No,0,183,108,1,4,183.0,5,5,9,1
F,38,Latino,College,25K --50K,East,City Hotel,2,2,0,FB,No,No,No Deposit,Direct,Yes,Check-In,Yes,40,149,210,2,4,178.79999999999998,2,2,9,2
M,41,Latino,Mid-School,25K --50K,West,City Hotel,2,2,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,20,129,62,1,4,103.2,7,3,9,2
M,43,Asian American,Grad,>100K,East,Resort,2,1,0,HB,No,No,No Deposit,Direct,No,Check-In,No,0,122,73,2,3,244.0,6,6,9,2
M,53,caucasian,High-School,25K --50K,North,Resort,2,2,0,FB,Yes,Yes,Refundable,Online,Yes,Check-In,Yes,5,204,8,1,4,193.79999999999998,9,1,9,2
M,46,Asian American,Grad,25K --50K,East,Resort,3,1,1,BB,Yes,Yes,Non-Refundable,Online,Yes,Check-In,No,0,176,199,1,4,176.0,2,6,9,2
F,41,Latino,Mid-School,50K -- 100K,South,Resort,1,2,0,FB,No,No,Refundable,Online,No,Canceled,Yes,20,233,31,1,3,186.4,8,6,9,2
M,56,African American,College,>100K,West,Airport Hotels,3,1,2,BB,No,No,No Deposit,Agent,Yes,Canceled,Yes,15,162,172,4,4,550.8,1,4,7,1
F,58,Asian American,Grad,25K --50K,South,City Hotel,1,3,0,FB,No,No,No Deposit,Agent,Yes,Check-In,No,0,207,97,1,4,207.0,6,3,9,2
F,44,Asian American,Mid-School,>100K,South,City Hotel,1,1,0,FB,No,No,Refundable,Online,Yes,Check-In,No,0,131,30,1,2,131.0,8,0,9,2
F,64,African American,High-School,<25K,West,City Hotel,2,2,0,FB,No,No,Non-Refundable,Direct,Yes,No-Show,Yes,20,124,61,1,4,99.2,7,4,9,2
F,24,Latino,Grad,<25K,South,Airport Hotels,1,2,0,FB,No,No,Refundable,Direct,No,Canceled,Yes,10,127,175,2,3,228.6,3,2,9,2
F,31,caucasian,College,<25K,East,City Hotel,1,1,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,10,165,206,4,2,594.0,2,6,9,2
F,69,Asian American,College,<25K,West,City Hotel,2,1,1,BB,No,No,Refundable,Online,Yes,Check-In,Yes,20,199,159,1,3,159.20000000000002,4,4,9,2
M,48,African American,College,50K -- 100K,South,Resort,1,1,0,FB,No,No,Refundable,Direct,Yes,Check-In,Yes,40,130,81,1,2,78.0,6,1,9,5
F,51,Latino,Grad,<25K,South,Airport Hotels,1,1,0,BB,No,No,No Deposit,Agent,Yes,Canceled,Yes,25,230,195,1,2,172.5,12,0,6,6
F,51,African American,College,50K -- 100K,South,Airport Hotels,3,1,0,FB,No,No,Non-Refundable,Online,No,Check-In,No,0,211,165,3,4,633.0,3,5,9,2
M,28,caucasian,High-School,>100K,South,City Hotel,2,1,0,FB,No,No,No Deposit,Direct,Yes,Check-In,Yes,20,192,134,3,3,460.8,4,1,9,2
F,35,Asian American,Grad,50K -- 100K,South,Resort,1,2,2,FB,Yes,No,No Deposit,Direct,No,Check-In,Yes,25,186,117,1,3,139.5,5,4,9,2
M,62,Asian American,Mid-School,<25K,South,City Hotel,2,1,1,FB,No,No,No Deposit,Direct,No,Canceled,Yes,10,209,26,4,3,752.4,3,3,4,1
M,56,African American,College,50K -- 100K,West,City Hotel,2,1,0,FB,No,No,No Deposit,Direct,No,Canceled,No,0,109,89,1,3,109.0,3,5,6,3
F,58,caucasian,Mid-School,50K -- 100K,South,City Hotel,2,1,0,BB,No,No,Refundable,Online,Yes,Canceled,Yes,10,106,122,1,3,95.4,5,0,9,3
F,64,African American,College,<25K,West,Airport Hotels,1,3,0,BB,No,No,Refundable,Direct,Yes,Check-In,Yes,20,243,93,3,4,583.2,6,1,9,3
F,68,Latino,College,<25K,West,City Hotel,1,2,0,HB,Yes,No,No Deposit,Agent,Yes,No-Show,No,0,247,86,1,3,247.0,6,1,9,3
F,19,Asian American,College,>100K,North,City Hotel,2,2,1,FB,No,No,No Deposit,Online,Yes,No-Show,Yes,10,143,192,1,4,128.70000000000002,9,5,3,1
M,22,Asian American,High-School,>100K,North,Airport Hotels,3,1,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,40,216,152,1,4,129.6,6,5,11,3
F,33,Latino,Mid-School,25K --50K,West,Airport Hotels,1,2,0,FB,No,No,Refundable,Direct,Yes,Check-In,Yes,20,124,17,3,3,297.6,8,0,9,3
F,30,caucasian,High-School,>100K,North,Resort,3,1,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,40,176,203,1,4,105.6,2,3,9,3
M,42,Latino,College,25K --50K,South,Airport Hotels,2,1,0,BB,No,No,Refundable,Online,No,No-Show,Yes,10,244,196,3,3,658.8000000000001,2,3,9,3
F,49,African American,Mid-School,25K --50K,South,City Hotel,2,1,0,HB,No,No,Refundable,Direct,Yes,Canceled,Yes,15,154,87,2,3,261.8,6,0,9,3
F,45,Asian American,High-School,25K --50K,West,Airport Hotels,2,2,0,FB,Yes,No,No Deposit,Online,Yes,Canceled,Yes,40,243,213,1,4,145.79999999999998,2,0,9,3
F,47,Latino,Mid-School,25K --50K,North,Airport Hotels,3,1,1,BB,No,No,No Deposit,Agent,Yes,Check-In,Yes,20,200,46,1,4,160.0,7,0,9,4
F,52,Latino,Mid-School,>100K,South,Airport Hotels,2,1,0,HB,No,No,No Deposit,Online,No,Canceled,Yes,25,189,11,3,3,425.25,8,0,9,4
F,37,caucasian,College,25K --50K,North,City Hotel,2,1,1,FB,Yes,Yes,No Deposit,Agent,Yes,Check-In,No,0,160,11,3,3,480.0,8,0,9,4
F,46,Asian American,Mid-School,50K -- 100K,South,Resort,2,1,1,FB,No,No,Refundable,Online,Yes,Canceled,Yes,10,194,103,1,3,174.6,5,6,9,4
M,35,caucasian,College,25K --50K,East,Resort,2,2,0,HB,Yes,No,Refundable,Online,Yes,Check-In,Yes,10,110,23,1,4,99.0,8,2,9,4
F,58,Asian American,Mid-School,<25K,South,City Hotel,1,2,0,BB,Yes,Yes,Refundable,Online,Yes,Canceled,Yes,10,205,49,4,3,738.0,7,4,9,4
M,26,African American,Grad,25K --50K,South,Resort,2,2,0,FB,No,No,No Deposit,Direct,No,No-Show,Yes,20,111,206,2,4,177.60000000000002,2,1,9,4
F,49,Latino,College,50K -- 100K,West,Resort,3,1,1,FB,No,No,No Deposit,Online,Yes,Check-In,No,0,223,75,2,4,446.0,6,6,9,4
F,30,Latino,Grad,<25K,East,Airport Hotels,1,1,1,BB,Yes,No,No Deposit,Online,Yes,Canceled,Yes,5,239,124,1,2,227.04999999999998,5,6,9,4
F,53,African American,Mid-School,50K -- 100K,South,Resort,2,1,0,HB,No,No,No Deposit,Online,No,No-Show,Yes,30,177,74,1,3,123.89999999999999,6,0,9,4
M,59,Latino,College,50K -- 100K,South,Resort,1,2,0,BB,No,No,Refundable,Online,No,Check-In,No,0,223,11,1,3,223.0,8,0,9,4
F,43,African American,College,<25K,West,Airport Hotels,1,2,0,FB,No,No,No Deposit,Agent,Yes,Check-In,Yes,20,193,181,2,3,308.8,3,5,9,4
M,30,African American,Mid-School,25K --50K,West,City Hotel,3,1,0,HB,Yes,Yes,No Deposit,Online,No,Canceled,Yes,25,156,90,1,4,117.0,6,5,9,4
F,21,Latino,College,50K -- 100K,East,Airport Hotels,2,2,0,FB,No,No,No Deposit,Direct,Yes,Check-In,No,0,119,108,1,4,119.0,5,1,9,4
F,59,Latino,College,25K --50K,South,Airport Hotels,1,1,0,FB,No,No,No Deposit,Online,Yes,Canceled,Yes,40,104,177,1,2,62.4,3,2,9,4
M,50,Latino,Grad,50K -- 100K,South,Airport Hotels,3,1,0,HB,Yes,No,Refundable,Online,No,No-Show,Yes,5,115,14,1,4,109.25,8,4,9,4
F,66,African American,Mid-School,50K -- 100K,West,Resort,2,1,2,FB,No,No,No Deposit,Online,Yes,Check-In,Yes,10,174,99,2,3,313.2,6,3,9,4
F,33,African American,High-School,25K --50K,North,City Hotel,2,1,0,HB,No,No,No Deposit,Online,No,Check-In,Yes,15,103,20,1,3,87.55,8,5,9,4
F,64,African American,College,<25K,South,Resort,1,2,0,HB,No,No,Refundable,Agent,Yes,Check-In,Yes,20,111,187,2,3,177.60000000000002,3,0,9,5
F,60,African American,Grad,<25K,West,Airport Hotels,2,1,0,FB,Yes,No,Non-Refundable,Online,Yes,Check-In,Yes,5,175,76,4,3,665.0,6,6,9,5
M,44,Latino,Mid-School,<25K,South,Airport Hotels,1,2,0,BB,Yes,No,No Deposit,Online,Yes,Check-In,No,0,192,178,1,3,192.0,3,2,9,5
F,20,Latino,Mid-School,<25K,South,Resort,2,1,0,BB,No,No,Non-Refundable,Online,No,Check-In,No,0,202,91,1,3,202.0,6,5,9,5
M,37,Latino,College,50K -- 100K,East,City Hotel,2,2,0,FB,No,No,No Deposit,Online,No,Check-In,No,0,176,111,3,4,528.0,5,6,9,5
F,68,Latino,Grad,<25K,North,Airport Hotels,1,1,0,FB,No,No,No Deposit,Online,Yes,Check-In,Yes,20,216,117,3,2,518.4,5,0,9,5
M,31,African American,College,<25K,East,City Hotel,2,2,0,HB,Yes,No,No Deposit,Direct,No,Canceled,Yes,5,185,93,1,4,175.75,6,3,9,5
M,33,Latino,College,<25K,East,City Hotel,2,1,1,BB,No,No,Refundable,Direct,Yes,Canceled,Yes,20,198,76,1,3,158.4,6,6,9,5
F,38,African American,High-School,25K --50K,West,Airport Hotels,1,2,0,BB,No,No,Non-Refundable,Online,No,Check-In,Yes,40,166,194,1,3,99.6,3,0,9,5
F,63,caucasian,Mid-School,<25K,East,Resort,2,1,0,BB,No,No,No Deposit,Online,Yes,No-Show,Yes,5,122,158,2,3,231.79999999999998,4,1,9,5
F,68,African American,College,50K -- 100K,East,City Hotel,1,1,0,HB,No,No,Non-Refundable,Direct,No,Check-In,Yes,10,129,12,1,2,116.10000000000001,8,0,9,5
F,65,caucasian,High-School,<25K,South,City Hotel,1,3,0,HB,No,No,No Deposit,Online,No,Canceled,Yes,5,221,214,1,4,209.95,2,1,9,5
M,62,Asian American,College,<25K,North,Airport Hotels,1,1,0,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,20,227,209,2,2,363.20000000000005,2,0,9,6
F,42,Asian American,Mid-School,50K -- 100K,South,City Hotel,1,3,0,HB,Yes,No,Non-Refundable,Online,Yes,No-Show,Yes,30,130,7,1,4,91.0,9,6,9,6
F,44,Asian American,College,>100K,South,Resort,2,1,0,FB,No,No,Non-Refundable,Online,Yes,No-Show,Yes,20,126,36,1,3,100.80000000000001,8,5,9,6
F,44,Latino,College,>100K,North,City Hotel,2,1,1,BB,Yes,No,Non-Refundable,Agent,Yes,Check-In,Yes,20,197,179,1,3,157.60000000000002,3,2,9,6
M,41,African American,Grad,<25K,North,City Hotel,3,1,0,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,10,131,188,1,4,117.9,3,0,9,6
M,64,Latino,High-School,50K -- 100K,East,Airport Hotels,1,2,0,HB,Yes,Yes,No Deposit,Online,Yes,Check-In,Yes,5,162,75,3,3,461.7,6,1,9,6
M,65,Latino,Grad,25K --50K,East,Resort,2,1,0,BB,No,No,Refundable,Direct,Yes,Check-In,Yes,25,230,86,1,3,172.5,6,4,9,6
M,39,Asian American,Mid-School,<25K,South,Airport Hotels,1,2,1,HB,Yes,No,No Deposit,Direct,No,Check-In,Yes,25,100,40,3,3,225.0,8,1,9,6
M,25,Latino,College,<25K,East,Resort,2,1,0,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,15,142,58,4,3,482.8,7,4,9,6
F,27,Asian American,College,<25K,South,Resort,1,3,1,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,25,241,165,1,4,180.75,4,2,9,6
F,64,African American,College,25K --50K,North,City Hotel,2,1,1,FB,Yes,Yes,Refundable,Online,No,Check-In,No,0,212,162,1,3,212.0,4,5,9,6
F,29,African American,High-School,50K -- 100K,East,Resort,2,1,1,BB,No,No,No Deposit,Direct,Yes,Check-In,Yes,20,190,209,3,3,456.0,2,1,9,0
F,33,African American,Mid-School,>100K,North,City Hotel,2,2,1,HB,No,No,No Deposit,Online,Yes,No-Show,Yes,25,216,124,1,4,162.0,5,2,9,0
M,37,African American,Grad,25K --50K,West,Airport Hotels,2,1,0,BB,No,No,No Deposit,Agent,Yes,Check-In,Yes,20,234,24,2,3,374.40000000000003,8,4,9,0
M,41,caucasian,Mid-School,50K -- 100K,West,Airport Hotels,2,1,1,HB,No,No,No Deposit,Online,No,Check-In,No,0,173,35,1,3,173.0,8,0,9,0
M,64,Asian American,College,<25K,South,City Hotel,2,1,0,BB,No,No,Refundable,Online,Yes,Check-In,Yes,5,228,82,1,3,216.6,6,2,9,0
F,57,Asian American,Grad,<25K,West,Resort,2,2,0,FB,No,No,Refundable,Online,Yes,No-Show,Yes,10,236,118,3,4,637.2,5,1,9,0
M,26,African American,College,<25K,South,Airport Hotels,2,2,0,HB,No,No,Refundable,Online,Yes,Canceled,Yes,20,204,48,1,4,163.20000000000002,11,2,1,1
M,54,Asian American,High-School,<25K,South,City Hotel,2,2,1,HB,No,No,No Deposit,Direct,Yes,Check-In,Yes,10,197,150,1,4,177.3,4,4,9,0
F,48,African American,Grad,50K -- 100K,East,Airport Hotels,2,1,0,HB,Yes,No,Refundable,Online,Yes,No-Show,Yes,20,230,206,2,3,368.0,2,4,9,0
M,31,African American,Mid-School,50K -- 100K,East,City Hotel,2,1,0,FB,Yes,No,Refundable,Direct,Yes,Canceled,Yes,10,189,6,2,3,340.2,9,1,9,0
M,28,African American,High-School,25K --50K,West,City Hotel,2,2,0,FB,No,No,No Deposit,Agent,No,Check-In,No,0,245,72,1,4,245.0,7,5,9,0
M,42,Asian American,Grad,>100K,West,City Hotel,1,1,0,BB,No,No,No Deposit,Direct,No,Check-In,No,0,151,208,1,2,151.0,2,2,9,0
M,59,caucasian,High-School,50K -- 100K,South,Airport Hotels,2,1,0,FB,No,No,No Deposit,Direct,Yes,Check-In,Yes,40,125,220,1,3,75.0,2,4,9,0
M,58,African American,High-School,50K -- 100K,East,City Hotel,2,2,1,BB,Yes,Yes,No Deposit,Online,Yes,No-Show,Yes,5,224,112,1,4,212.79999999999998,5,1,9,1
M,61,African American,High-School,25K --50K,West,Resort,2,2,0,BB,No,No,No Deposit,Online,Yes,Canceled,No,0,182,212,1,4,182.0,2,6,9,1
M,61,African American,High-School,<25K,East,Resort,2,2,0,BB,No,No,Non-Refundable,Online,Yes,Check-In,Yes,5,104,140,2,4,197.6,4,1,9,1
M,50,African American,College,50K -- 100K,West,City Hotel,1,2,0,FB,No,No,No Deposit,Online,Yes,Check-In,Yes,5,173,129,2,3,328.7,5,5,9,1
M,41,African American,College,50K -- 100K,East,Airport Hotels,1,2,0,HB,No,No,No Deposit,Online,No,Canceled,Yes,15,121,185,1,3,102.85,3,5,9,1
F,22,African American,Mid-School,<25K,North,Resort,1,1,1,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,20,124,134,2,2,198.4,5,0,9,1
M,57,Latino,Mid-School,25K --50K,West,Airport Hotels,3,1,0,HB,No,No,Refundable,Agent,Yes,Check-In,Yes,20,168,217,1,4,134.4,2,1,9,1
F,28,African American,Grad,25K --50K,South,City Hotel,1,2,0,FB,Yes,No,No Deposit,Online,No,Check-In,Yes,20,206,94,3,3,494.40000000000003,6,6,9,2
M,56,African American,High-School,<25K,West,Resort,2,2,0,FB,Yes,No,Refundable,Online,Yes,Check-In,No,0,203,216,2,4,406.0,2,3,9,2
F,64,Asian American,College,25K --50K,South,Resort,2,1,0,FB,Yes,No,No Deposit,Online,No,Check-In,Yes,40,153,198,1,3,91.8,3,0,9,2
F,20,caucasian,College,>100K,South,Airport Hotels,1,2,0,BB,No,No,Refundable,Online,Yes,Check-In,Yes,10,175,136,1,3,157.5,5,6,9,2
M,20,African American,College,<25K,East,City Hotel,3,1,0,HB,No,No,No Deposit,Online,No,Canceled,Yes,15,116,35,3,4,295.8,8,2,9,2
F,23,Latino,High-School,25K --50K,South,City Hotel,2,2,1,FB,No,No,No Deposit,Agent,Yes,Canceled,No,0,105,180,2,4,210.0,3,4,9,2
M,30,Latino,Grad,>100K,North,Resort,1,2,0,FB,No,No,Non-Refundable,Agent,Yes,Canceled,Yes,10,119,55,2,3,214.20000000000002,7,3,9,2
F,68,Asian American,High-School,>100K,South,Resort,1,2,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,10,120,88,3,3,324.0,6,5,9,2
M,25,caucasian,High-School,>100K,East,Resort,2,1,0,HB,Yes,No,No Deposit,Online,Yes,No-Show,Yes,20,127,121,2,3,203.20000000000002,5,0,9,2
M,32,Latino,College,50K -- 100K,South,Airport Hotels,3,1,0,HB,No,No,Refundable,Online,No,No-Show,No,0,240,114,2,4,480.0,5,0,9,2
M,28,Latino,College,<25K,East,Airport Hotels,1,1,1,BB,Yes,Yes,Refundable,Online,Yes,Check-In,Yes,20,231,165,1,2,184.8,4,5,9,2
M,49,Latino,Mid-School,50K -- 100K,East,Resort,2,1,0,FB,No,No,Refundable,Online,No,No-Show,Yes,10,126,124,1,3,113.4,5,4,9,2
M,26,African American,High-School,>100K,West,City Hotel,1,3,0,HB,Yes,No,No Deposit,Online,No,Canceled,Yes,5,192,198,1,4,182.39999999999998,3,0,9,2
M,27,Latino,College,50K -- 100K,West,Airport Hotels,2,2,0,BB,Yes,No,No Deposit,Agent,Yes,Check-In,No,0,161,168,4,4,644.0,4,2,9,2
F,36,caucasian,High-School,50K -- 100K,West,City Hotel,1,2,0,FB,No,No,No Deposit,Online,No,Check-In,No,0,191,219,1,3,191.0,2,0,9,2
F,40,Asian American,Mid-School,50K -- 100K,East,Resort,2,2,0,FB,Yes,No,No Deposit,Online,Yes,Canceled,Yes,20,225,27,1,4,180.0,8,3,9,2
F,50,Latino,High-School,>100K,South,City Hotel,1,3,0,BB,Yes,Yes,No Deposit,Online,Yes,Check-In,Yes,5,213,84,2,4,404.7,6,2,9,2
M,30,Asian American,Grad,25K --50K,East,City Hotel,1,2,0,BB,No,No,No Deposit,Online,Yes,Canceled,Yes,40,222,152,1,3,133.2,4,4,9,2
F,62,Latino,College,25K --50K,West,Airport Hotels,2,1,1,FB,Yes,Yes,No Deposit,Online,Yes,Check-In,Yes,25,198,182,4,3,594.0,3,2,9,2
M,18,caucasian,High-School,50K -- 100K,West,Resort,2,2,1,FB,Yes,No,No Deposit,Direct,No,Check-In,No,0,208,39,2,4,416.0,8,5,9,2
M,42,caucasian,Mid-School,<25K,East,City Hotel,3,1,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,10,148,127,4,4,532.8000000000001,5,1,9,2
M,44,caucasian,College,25K --50K,South,City Hotel,2,1,0,FB,No,No,No Deposit,Online,No,Check-In,No,0,210,95,2,3,420.0,6,5,9,2
M,39,African American,College,<25K,South,Resort,3,1,0,FB,No,No,No Deposit,Online,Yes,No-Show,Yes,30,165,116,2,4,230.99999999999997,5,5,9,2
M,34,Latino,Mid-School,<25K,South,Airport Hotels,1,1,1,HB,No,No,No Deposit,Online,Yes,Check-In,No,0,193,108,3,2,579.0,5,6,9,2
F,29,Latino,Grad,25K --50K,West,Airport Hotels,3,1,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,5,244,54,2,4,463.59999999999997,7,4,9,2
F,21,African American,Mid-School,50K -- 100K,South,City Hotel,1,1,0,FB,Yes,Yes,No Deposit,Direct,No,Check-In,Yes,10,114,157,1,2,102.60000000000001,4,6,9,2
F,69,African American,Grad,>100K,South,Airport Hotels,1,1,0,FB,No,No,No Deposit,Direct,No,No-Show,No,0,181,58,1,2,181.0,7,0,9,2
M,47,caucasian,Grad,>100K,West,Airport Hotels,1,1,0,FB,No,No,No Deposit,Online,Yes,Check-In,No,0,122,69,1,2,122.0,7,3,9,2
F,66,caucasian,College,>100K,South,City Hotel,2,1,0,HB,No,No,No Deposit,Online,Yes,Check-In,No,0,113,129,1,3,113.0,5,6,9,2
F,20,caucasian,College,<25K,South,Airport Hotels,2,2,2,BB,No,No,No Deposit,Online,No,Canceled,Yes,10,101,6,1,4,90.9,9,3,9,2
F,37,Asian American,Mid-School,<25K,West,Resort,2,2,0,FB,No,No,No Deposit,Online,Yes,No-Show,Yes,10,245,59,1,4,220.5,7,6,9,2
F,50,caucasian,Mid-School,<25K,North,Resort,2,2,0,BB,No,No,No Deposit,Online,Yes,No-Show,Yes,40,101,129,2,4,121.19999999999999,5,6,9,2
M,31,Latino,High-School,25K --50K,South,Resort,2,1,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,25,110,71,2,3,165.0,7,1,9,2
F,28,Latino,Grad,25K --50K,West,Airport Hotels,2,2,0,FB,No,No,No Deposit,Online,Yes,Check-In,Yes,10,242,135,1,4,217.8,5,0,9,2
M,31,caucasian,High-School,<25K,South,City Hotel,1,1,0,FB,Yes,No,No Deposit,Online,No,Canceled,Yes,20,195,196,3,2,468.0,3,2,9,2
F,41,Asian American,High-School,50K -- 100K,East,Airport Hotels,1,2,0,HB,No,No,No Deposit,Direct,Yes,Check-In,Yes,10,102,99,1,3,91.8,6,1,9,2
M,62,Asian American,Mid-School,<25K,West,Resort,1,2,0,BB,No,No,No Deposit,Online,Yes,Check-In,Yes,40,235,74,1,3,141.0,7,5,9,2
